,ID,admin,age,sex,zone,gang,family,other,risk
41,Foothill-14-211-1,1,16.0,2,5.0,,4.58290793,1.042278034,-0.031359751
42,Southeast 1-22-27-1,1,19.0,2,19.0,-5.425324345,2.311174233,,0.507798049
43,Northeast-20-98-2,1,15.0,2,14.0,-0.063441147,-0.89954775,0.95362397,5.874693101
44,Northeast-20-1-2,1,17.0,1,14.0,,0.624888229,2.294926285,-1.472545622
45,NHSEA-0-222-3,1,20.0,1,8.0,,-1.751974525,3.328704713,0.749120821
46,Southeast 1-22-24-1,1,19.0,2,19.0,-1.269610715,-3.282355902,,-0.10209408699999999
47,Hollenbeck 1-20-44-2,1,20.0,1,7.0,4.442854047,2.190746657,,2.47549758
48,Southeast 1-22-19-1,1,15.0,1,19.0,,5.136252951,-3.4559341810000004,-2.838668568
49,Mission-19-96-1,1,19.0,1,11.0,2.958082282,-5.898304258,-1.540849341,5.817120213
50,Hollenbeck 2-20-30-2,1,16.0,1,8.0,0.7077650959999999,2.5805124,1.5598488730000002,2.721878823
51,Southeast 1-22-36-1,1,25.0,1,19.0,,-4.129689694,0.430201971,-4.392534174
52,Hollenbeck 1-20-2-2,1,16.0,1,7.0,,0.796804395,,-3.69734782
53,Northeast-20-64-2,1,15.0,1,14.0,-0.246770386,-1.4744209190000002,,5.9131688460000005
54,Southeast 1-22-32-1,1,18.0,1,19.0,,,,2.4853968859999997
55,Northeast-20-56-2,1,16.0,2,14.0,,-2.735885329,1.5239203190000001,2.533224786
56,Southeast 1-22-12-1,1,25.0,2,19.0,,0.998249912,2.857885618,-3.986346087
57,Southeast 2-20-157-1,1,18.0,2,20.0,,-2.8832908660000003,-0.146187598,0.222089853
58,Harbor-21-137-1,1,17.0,1,6.0,-2.254501805,3.703929724,,-2.034607945
59,77th 1-16-25-1,1,17.0,2,1.0,,2.9938264310000005,,-4.834089429
60,Hollenbeck 2-20-9-2,1,17.0,1,8.0,2.806458908,-0.095485302,,-5.196776292
